,N,dovar,obsvar,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
14,7,0,-1,3,1234,CCALPeps,18132.593399999998,18127.5352,0.0520659525180482,0.05206595251804832,0.05307172274852386,0.05307172274852399,0.09486232473342776,0.09486232473342793
15,8,0,-1,3,1234,CVE,1663.5444,1662.7974000000002,0.0990603707276004,0.0990603707276004,0.04110721282123542,0.04110721282123542,0.05983241645116418,0.05983241645116418
16,8,0,-1,3,1234,CCVE,39337.3156,39148.933,0.09906037072760038,0.09906037072760038,0.04110721282123543,0.04110721282123543,0.059832416451164196,0.059832416451164196
17,8,0,-1,3,1234,CCALPeps,21873.9364,21868.5646,0.09902102994460267,0.09902102994460289,0.04112440428360102,0.041124404283601104,0.059854565771796056,0.05985456577179623
18,9,0,-1,3,1234,CVE,16802.976799999997,16802.0848,0.028159582806172073,0.028159582806172073,0.15257560569919248,0.15257560569919248,0.019264811494635447,0.019264811494635447
19,9,0,-1,3,1234,CCVE,inf,inf,,,,,,
20,9,0,-1,3,1234,CCALPeps,26797.573800000002,26791.967200000003,0.028174002192769054,0.02817400219276912,0.1525155985555738,0.15251559855557395,0.01931039925165702,0.01931039925165707
21,10,0,-1,3,1234,CVE,,,,,,,,
22,10,0,-1,3,1234,CCVE,,,,,,,,
23,10,0,-1,3,1234,CCALPeps,28550.1908,28545.2272,0.032226610654604755,0.03222661065460483,0.09319426999865685,0.093194269998657,0.07457911934673818,0.07457911934673832
24,11,0,-1,3,1234,CVE,,,,,,,,
25,11,0,-1,3,1234,CCVE,,,,,,,,
26,11,0,-1,3,1234,CCALPeps,26718.9896,26713.7126,0.04862354873425886,0.04862354873425896,0.11159961031756198,0.11159961031756216,0.03977684094817898,0.039776840948179064
27,12,0,-1,3,1234,CVE,,,,,,,,
28,12,0,-1,3,1234,CCVE,,,,,,,,
29,12,0,-1,3,1234,CCALPeps,30227.668800000003,30222.0776,0.03922572212714542,0.03922572212714552,0.11784549270268536,0.11784549270268563,0.042928785170168966,0.04292878517016911
30,13,0,-1,3,1234,CVE,,,,,,,,
31,13,0,-1,3,1234,CCVE,,,,,,,,
32,13,0,-1,3,1234,CCALPeps,35705.7656,35699.771199999996,0.03558899156097458,0.0355889915609747,0.12197113322264608,0.12197113322264634,0.04243987521637908,0.04243987521637922
33,14,0,-1,3,1234,CVE,,,,,,,,
34,14,0,-1,3,1234,CCVE,,,,,,,,
35,14,0,-1,3,1234,CCALPeps,40583.510800000004,40577.173,0.03871881535985379,0.038718815359857335,0.05400066373620864,0.05400066373621356,0.1072805209039291,0.10728052090393717
36,15,0,-1,3,1234,CVE,,,,,,,,
37,15,0,-1,3,1234,CCVE,,,,,,,,
38,15,0,-1,3,1234,CCALPeps,38739.3174,38732.787800000006,0.039372743764113705,0.03937274376411393,0.05308367312601479,0.05308367312601501,0.10754358310987129,0.10754358310987151
39,16,0,-1,3,1234,CVE,,,,,,,,
40,16,0,-1,3,1234,CCVE,,,,,,,,
41,16,0,-1,3,1234,CCALPeps,41803.541000000005,41795.676,0.06613048021993775,0.06613048021993806,0.08841480128047194,0.08841480128047226,0.04545471849958999,0.045454718499590284
42,17,0,-1,3,1234,CVE,,,,,,,,
43,17,0,-1,3,1234,CCVE,,,,,,,,
44,17,0,-1,3,1234,CCALPeps,43692.49,43685.403,0.029142321414237837,0.02914232141423952,0.06898089810703092,0.06898089810703453,0.10187678047872595,0.10187678047872957
45,18,0,-1,3,1234,CVE,,,,,,,,
46,18,0,-1,3,1234,CCVE,,,,,,,,
47,18,0,-1,3,1234,CCALPeps,49331.823599999996,49323.536,0.060204344271351316,0.06020434427135161,0.08068105828286905,0.08068105828286933,0.059114597445779314,0.05911459744577956
48,19,0,-1,3,1234,CVE,,,,,,,,
49,19,0,-1,3,1234,CCVE,,,,,,,,
50,19,0,-1,3,1234,CCALPeps,55688.275,55679.8358,0.11474365052051363,0.11474365052051398,0.06420331840279998,0.06420331840280025,0.02105303107668603,0.021053031076686116
